genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster
s_SUB_6_13.fa,75.19359971,92.08,3.68,10,2071760,15531,47_0
s_SUB_6_17.fa,60.72286684,86.53,5.56,0,3329413,8256,48_1
s_SUB_17_8.fa,60.58378633,70.31,2.14,0,2291680,7040,49_0
s_SUB_19_1.fa,63.41445871,87.18,5.22,22.22,2522101,17748,50_0
s_SUB_21_5.fa,38.63210616,72.1,7.33,33.33,2605947,2388,51_0
s_SUB_13_7.fa,76.48062354,86.56,2.9,80,2356960,13546,52_1
s_SUB_18_2.fa,65.17609432,83.13,4.61,90.91,1888799,5132,53_0
s_SUB_20_4.fa,64.66879309,79.44,3.64,68.75,2121718,5657,54_0
s_SUB_7_10.fa,67.9452598,81.86,3.05,0,3026029,37198,55_0
s_SUB_8_10.fa,73.64738316,88.12,3.38,40,3298380,11240,56_0
s_SUB_12_18.fa,71.97785288,75.05,1.23,100,2397056,4431,57_1
s_SUB_15_2.fa,49.09689819,77.47,6.55,53.85,2276160,3976,58_1
s_SUB_19_2.fa,42.08095633,77.93,8.09,45.71,2578074,5082,58_2
s_SUB_18_3.fa,89.26486325,95.52,1.61,50,2738111,7581,59_0
s_SUB_19_5.fa,46.83583642,81.23,7.75,43.48,2506982,7452,60_0
s_SUB_3_23.fa,91.00459766,93.08,0.72,50,3122428,16951,61_0
s_SUB_1_2.fa,80.85518689,96.84,4.02,54.55,3566844,6203,62_1
s_SUB_5_2.fa,54.70725818,81.81,6.13,44.44,1675217,3517,63_0
s_SUB_8_9.fa,77.65244599,90.52,3.14,20,2384087,21257,64_1
s_SUB_6_1.fa,80.83047885,89.51,2.28,75,1757461,8336,65_0
s_SUB_2_3.fa,86.4632042,85.65,0.29,100,2237592,7775,66_1
s_SUB_12_17.fa,66.94529749,78.55,2.9,66.67,2286012,6664,67_0
s_SUB_15_5.fa,62.0335856,85.59,5.27,33.33,1842204,9423,68_0
s_SUB_12_2.fa,82.47744494,86.24,1.29,50,2230696,10203,69_1
s_SUB_12_12.fa,74.71072584,81.11,1.72,66.67,2700753,10186,70_0
s_SUB_7_12.fa,70.87291396,71.65,0.43,100,3075823,6107,71_0
s_SUB_13_5.fa,51.67641616,76.82,5.91,42.86,2203881,5014,72_1
s_SUB_10_1.fa,77.47025669,80.11,0.93,0,1228948,9308,73_1
s_SUB_12_6.fa,89.63703458,96.3,1.85,0,2949105,132220,74_1
s_SUB_10_3.fa,80.93552025,87.18,1.8,25,2836052,33508,75_1
s_SUB_2_2.fa,65.68136485,75.83,2.45,50,2045422,4495,76_0
s_SUB_6_6.fa,76.23563908,81.03,1.72,100,2015449,12326,77_1
s_SUB_12_7.fa,70.88022451,78.84,2.14,33.33,1744045,9707,78_1
s_SUB_8_2.fa,80.99048024,87.98,2.09,66.67,2574472,11520,79_1
s_SUB_2_5.fa,71.60347133,88.43,3.81,33.33,2478692,6415,79_2
s_SUB_20_3.fa,72.09110621,81.94,2.31,25,3079359,14035,80_0
s_SUB_12_13.fa,64.44115645,77.44,3.09,50,1958445,5156,81_0
s_SUB_3_19.fa,82.13529521,92.07,2.45,50,2827375,12039,82_0
s_SUB_2_11.fa,74.22632296,81.54,2.22,78.57,1002731,10560,83_1
s_SUB_18_6.fa,69.38368632,95.45,5.81,32,2428313,14092,84_0
s_SUB_18_9.fa,56.47583865,99.03,8.96,14.29,2893698,6775,85_0
s_SUB_20_1.fa,73.08193463,78.57,1.27,0,1949223,4206,86_0
s_SUB_22_4.fa,74.61453144,94.26,5.18,100,1297909,11196,87_0
s_SUB_9_17.fa,60.50760711,84.46,5.45,42.86,3703997,6660,88_0
s_PL_24_7.fa,66.61477442,94.38,6.31,45.45,1901138,5417,1_0
s_PL_7_20.fa,82.40398999,93.69,2.43,0,3569169,4246,2_0
s_PL_8_13.fa,64.03299869,92.52,6.07,12.5,2966888,12838,3_0
s_PL_9_7.fa,34.2078061,78.4,9.66,30.77,2203372,14820,4_0
s_PL_3_3.fa,46.60022658,70.26,5.3,41.18,1927281,1642,5_1
s_PL_5_23.fa,47.64480005,75.33,6.12,35.71,2296674,2284,5_2
s_PL_3_12.fa,78.20748126,84.8,2.12,100,1200728,5542,6_1
s_PL_8_2.fa,35.44567736,77.29,9.97,69.57,1924570,10942,7_0
s_PL_21_6.fa,85.18347974,96.74,2.76,45.45,2661970,7553,8_0
s_PL_2_17.fa,75.70817861,85.18,2.26,45.45,2555768,3177,9_0
s_PL_1_21.fa,49.57108441,72.47,5.77,70.59,2178950,5058,10_1
s_PL_4_8.fa,72.13903539,72.12,0.16,0,1637450,3452,11_0
s_PL_6_29.fa,70.89919063,83.88,3.05,44.44,1929436,5340,12_0
s_PL_3_29.fa,89.05921504,96.55,1.72,0,1574359,13135,13_1
s_PL_9_5.fa,66.26358474,73.98,1.69,0,1015597,2329,13_2
s_PL_8_12.fa,96.26770499,97.85,0.81,0,3390389,78639,14_1
s_PL_8_18.fa,69.95707241,92.7,5.4,60,2619254,8593,15_0
s_PL_9_27.fa,70.11191846,79.73,2.09,0,2838880,3663,16_0
s_PL_1_9.fa,60.18473751,71.27,2.53,25,1783897,5814,17_0
s_PL_8_21.fa,69.47470266,93.58,5.03,0,2583117,9759,18_0
s_PL_9_25.fa,96.89961969,94.92,0,0,1707848,7914,19_1
s_PL_5_12.fa,68.13767837,89.56,5.41,70,1693265,4249,20_1
s_PL_1_6.fa,78.22437713,88.76,2.88,66.67,1659620,6797,21_1
s_PL_5_15.fa,89.3492085,91.82,1.02,60,1445816,9421,22_1
s_PL_5_2.fa,48.24917218,70.15,4.65,12.5,1718445,2728,23_0
s_PL_2_10.fa,51.50023726,83.56,7.03,33.33,2188673,2479,24_0
s_PL_8_27.fa,79.91557042,92.55,2.79,14.29,2535984,5417,25_0
s_PL_8_29.fa,59.10128696,80.02,4.7,36.36,1704366,4413,26_0
s_PL_8_8.fa,81.62818818,86.44,1.27,50,1347873,5086,27_0
s_PL_3_1.fa,75.39737188,81.81,1.82,50,1083756,3476,28_1
s_PL_17_1.fa,69.60343143,85.67,3.72,42.86,2804788,5999,29_0
s_PL_9_3.fa,64.27448219,97.22,6.86,0,7004368,40641,30_0
s_PL_3_2.fa,68.3655645,71.06,0.91,100,1928690,6182,31_0
s_PL_3_5.fa,70.71584614,85.02,3.47,60,1599569,6725,32_0
s_PL_10_12.fa,60.61722554,82.16,5.29,78.57,2512197,2522,33_1
s_PL_4_3.fa,39.50502341,73.49,7.94,63.64,2018017,1675,33_2
s_PL_18_11.fa,30.98746517,71.56,8.59,19.23,2008273,2245,34_0
s_PL_6_7.fa,58.95809201,71.72,3.17,75,2302099,2095,35_0
s_PL_8_28.fa,58.68246144,76.72,3.86,10,3232799,4497,36_0
s_PL_9_34.fa,87.66602284,92.86,1.79,100,1699322,7544,37_1
s_PL_6_21.fa,76.4940129,75.36,0,0,1607135,14724,38_0
s_PL_19_6.fa,60.78772681,72.2,2.94,83.33,2795905,3764,39_0
s_PL_11_17.fa,58.86589772,73.07,3.5,75,2502545,1745,40_0
s_PL_18_12.fa,50.52997879,72.73,4.75,16.67,2076456,2608,41_0
s_PL_3_26.fa,92.96031777,96.13,1.13,33.33,3005365,13609,42_1
s_PL_9_15.fa,70.06379213,87.63,4.25,40,3241104,8209,43_1
s_PL_1_8.fa,69.47528166,73.76,1.47,75,1742069,7372,44_1
s_PL_2_7.fa,93.67292052,95.04,0.49,0,3461975,11637,45_0
s_PL_5_11.fa,73.34824458,71.78,0,0,1034401,108765,46_0
s_PL_22_2.fa,74.47630348,98.9,5.13,0,5994871,22522,47_0
s_PL_6_18.fa,58.63192892,76.35,4.31,66.67,1794711,6560,48_0
s_PL_18_9.fa,68.65328402,76.52,2.16,85.71,1947484,11585,49_0
s_PL_19_5.fa,81.11181628,90.03,2.25,57.14,2318837,9825,50_0
s_PL_18_1.fa,71.08032218,77.79,1.98,54.55,2967413,15433,51_1
s_PL_18_5.fa,72.28609402,80.27,2.13,72.73,2964943,13611,52_0
s_PL_2_11.fa,44.78814589,86.85,9.54,46.67,3685681,18692,53_0
s_PL_22_3.fa,56.17759114,82.33,6.16,59.09,4046613,8228,54_0
s_PL_6_9.fa,81.86395586,96.6,3.52,46.67,4591425,21996,55_0
s_PL_7_2.fa,32.77674798,73.58,9.54,65.08,2602917,1889,56_0
s_PL_5_20.fa,72.42051072,83.66,2.93,80,3697041,10790,57_0
s_PL_9_12.fa,66.48624134,87.59,4.81,40,3221552,8800,58_0
s_PL_8_20.fa,74.87268985,92.74,4.13,16.67,2670754,12836,59_1
s_PL_1_13.fa,71.51539965,76.64,1.45,75,1471697,9458,60_0
s_PL_5_21.fa,66.49118803,89.17,5.46,66.67,2295024,7278,61_0
s_PL_8_10.fa,93.1427131,91.03,0,0,1957261,14555,62_1
s_PL_3_15.fa,61.27566659,73.82,3.14,75,1263448,3172,63_0
s_PL_4_7.fa,67.6484712,86.15,4.08,0,3842204,5425,64_1
s_PL_3_17.fa,62.33744861,72.38,2.18,0,5142102,4120,65_0
s_PL_16_10.fa,49.49752432,77.47,6.15,30.77,3937096,4681,66_0
s_PL_21_19.fa,63.5278086,82.15,4.11,25,2403525,5019,67_0
s_PL_7_22.fa,78.42105586,82.92,1.1,0,2257078,7982,68_0
s_PL_5_8.fa,87.83760578,96.7,2.2,0,2785203,16270,69_1
s_PL_21_13.fa,76.72384531,88.46,2.75,0,2289904,9750,70_1
s_PL_13_2.fa,60.70092597,77.17,3.67,25,1949318,6712,71_0
s_PL_17_7.fa,66.56001287,70.06,0.92,0,2013949,12590,72_0
s_PL_2_23.fa,76.93090985,78.73,0.93,100,1936713,6780,73_1
s_PL_8_17.fa,77.75284451,89.81,3.09,75,2104190,11238,73_2
s_PL_16_6.fa,79.94145628,85.19,1.39,50,2224556,8183,74_0
s_PL_10_2.fa,27.95594004,70.87,9.01,14.71,3343618,3320,75_0
s_PL_6_32.fa,79.44191698,89.81,2.55,54.55,2978401,7617,76_0
s_PL_2_14.fa,81.02902856,90.32,2.27,42.86,2896837,11809,77_0
s_PL_10_20.fa,75.00873545,96.35,4.87,35.71,3756602,27499,78_0
s_PL_2_21.fa,69.86137265,77.99,2.31,66.67,2562201,5301,79_1
s_PL_1_2.fa,88.3360932,89.71,0.55,66.67,2833322,8295,80_0
s_PL_2_20.fa,74.77710201,85.11,2.59,66.67,1784097,4794,81_0
s_PL_10_16.fa,73.1404038,83.65,2.4,22.22,3008866,6520,82_0
s_PL_17_5.fa,50.11685784,72.61,4.92,22.22,2612965,8458,83_0
s_PL_13_10.fa,61.64812782,77.73,3.78,50,1574974,5705,84_0
s_PL_2_5.fa,57.84376798,87.92,6.89,43.14,5136133,50448,85_0
s_PL_24_9.fa,64.09297409,75.1,2.56,33.33,3572865,6018,86_0
s_PL_17_17.fa,80.60423999,83.33,0.95,0,1817708,9444,87_1
s_PL_21_16.fa,80.50197835,85.06,1.15,0,1971143,19229,88_0
s_PL_11_16.fa,44.67024901,76.72,7.04,31.82,1837913,5251,89_0
s_PL_5_22.fa,86.01863565,90.66,1.15,0,2314160,13100,90_1
s_PL_8_7.fa,83.8386127,96.55,3.08,50,2637791,15748,90_2
s_PL_1_24.fa,72.7706766,74.94,0.72,50,1721636,10999,91_0
s_PL_1_1.fa,65.06911377,78.75,2.99,12.5,3292111,4906,92_0
s_PL_21_21.fa,65.72950436,79.89,3.57,50,2088183,6407,93_1
s_PL_10_19.fa,84.16464586,93.97,2.26,20,2523256,9667,94_0
s_PL_17_2.fa,74.32665491,77.23,0.81,25,1775150,6142,95_0
s_PL_3_25.fa,84.71773718,90.43,1.78,66.67,2594517,10103,96_1
s_PL_1_15.fa,73.53399359,88.72,3.42,20,2711746,22908,97_0
s_PL_9_30.fa,64.77063324,84.61,4.62,50,2487474,6328,98_0
s_PL_5_14.fa,73.32289836,73.51,0.53,100,1471668,6442,99_1
s_PL_6_23.fa,78.77608442,83.33,1.32,66.67,1490908,17064,100_0
s_PL_5_6.fa,72.24095432,85.7,3.16,11.11,1609134,8244,101_1
s_PL_16_12.fa,56.01387803,70.58,3.07,0,1852802,2936,102_0
s_PL_6_34.fa,49.80824555,72.38,5.58,80,1321178,4251,103_0
s_PL_10_11.fa,69.09128688,85.26,4.06,50,2827100,14199,104_1
s_PL_5_17.fa,69.86099168,75.02,1.54,33.33,1382431,9622,105_1
s_PL_20_1.fa,69.04968409,87.35,4.48,50,1942984,5045,106_1
s_PL_4_2.fa,97.39036661,96.01,0.17,100,1818946,11374,107_1
s_PL_12_7.fa,71.98772246,75.28,0.85,0,2764642,6538,108_0
s_PL_3_7.fa,72.03014813,85.27,2.99,25,2145828,6688,109_0
s_PL_8_6.fa,74.02386734,85.61,2.88,33.33,2003190,4643,110_1
s_PL_6_30.fa,90.50963375,96.15,1.71,50,3272645,10871,111_1
s_PL_10_8.fa,92.27555226,94.44,0.85,0,2563547,12332,112_1
s_PL_13_7.fa,76.5472105,85.73,2.61,75,2409519,5983,113_1
s_PL_11_22.fa,76.78658416,84.16,1.71,0,2137205,17913,114_0
s_PL_7_3.fa,61.22701809,73.7,2.99,50,1655222,7312,115_0
s_PL_17_18.fa,74.64901149,86.11,2.93,35.71,3383047,16538,116_1
s_PL_24_2.fa,64.48358662,82.43,4.02,29.41,1701165,6960,117_0
s_PL_9_29.fa,56.19425705,78.25,4.92,31.58,2186092,7604,118_0
s_PL_21_10.fa,52.00033655,77.45,5.59,28.57,2474090,5088,119_0
s_PL_21_4.fa,58.06130022,70.18,2.85,50,2395876,2054,120_1
s_PL_7_29.fa,65.84156618,71.08,1.28,0,2389234,16716,120_2
s_PL_24_1.fa,63.24909919,84.5,5.13,68,2409341,5265,121_0
s_PL_2_19.fa,80.51377226,88.49,2.1,75,4892921,6274,122_0
s_PL_17_15.fa,89.92086007,90.17,0.57,100,2251118,10124,123_1
s_PL_13_8.fa,84.44145326,97.01,3.67,100,2964471,14553,124_1
s_PL_20_3.fa,58.6291681,73.59,3.85,87.5,2273999,5506,124_2
s_PL_7_19.fa,34.06898349,77.26,9.15,17.95,2092604,5409,124_3
s_PL_21_20.fa,81.63370428,83.86,0.85,100,2480956,17677,125_0
s_PL_12_8.fa,60.26868988,79.91,4.27,16.67,2449191,7830,126_0
s_PL_7_13.fa,80.54413137,86.87,1.71,66.67,2416550,11699,127_0
s_PL_10_1.fa,90.77132726,96.58,1.71,33.33,2877564,18454,128_1
s_PL_7_17.fa,91.99722397,92.98,0.4,0,2999556,8599,129_0
s_PL_21_7.fa,95.19614431,94.79,0.43,100,1624077,14618,130_1
s_PL_9_36.fa,55.34124868,81.55,5.45,0,5044593,9605,131_0
s_PL_5_9.fa,65.30588867,92.57,5.74,7.69,5774946,7744,132_0
s_PL_2_15.fa,92.82292814,96.15,1.07,83.33,3669115,14541,133_0
s_PL_2_18.fa,80.29002786,84.55,1.21,66.67,4830856,7356,134_0
s_PL_19_14.fa,92.83143215,96.81,1.03,0,2113294,17493,135_0
s_PL_6_10.fa,77.36694208,75.71,0,0,733861,163638,136_0
s_PL_7_15.fa,94.48535544,98.06,0.97,0,1486228,28230,137_0
s_PL_9_10.fa,56.91019851,76.62,5.02,90.91,1898026,3573,138_0
